,MAKE,MODEL,MODEL_DESCRIPTION,VARIANT,YEAR,CC,HORSEPOWER,PRICE,TRANSMISSION,CURRENCY,TAX_RATE,PRICE_INCLUDE_TAX
229,DAIHATSU,GRAN MAX,Blind Van,Gran Max Blind Van,2009,1.3,-,55000000.0,0,Rp,,55000000.0
230,DAIHATSU,GRAN MAX,Gran Max,1.3 Blind Van,2009,1.3,88,55000000.0,0,Rp,,55000000.0
231,DAIHATSU,GRAN MAX,Gran Max,1.3 F,2009,1.3,88,55000000.0,0,Rp,,55000000.0
232,DAIHATSU,GRAN MAX,Gran Max,1.3 Pick Up,2009,1.3,88,55000000.0,0,Rp,,55000000.0
233,HYUNDAI,AVEGA,Avega,SG 1.5 M/T,2009,1.5,105,55000000.0,Manual Transmission,Rp,,55000000.0
234,HYUNDAI,I10,i10,iCare A/T,2009,1.1,82,55000000.0,Automatic Transmission,Rp,,55000000.0
235,HYUNDAI,I10,i10,iCare M/T,2009,1.1,82,55000000.0,Manual Transmission,Rp,,55000000.0
236,HYUNDAI,I10,i10,iChic M/T,2009,1.1,82,55000000.0,Manual Transmission,Rp,,55000000.0
237,HYUNDAI,I10,i10,iCool M/T,2009,1.1,82,55000000.0,Manual Transmission,Rp,,55000000.0
238,PROTON,EXORA,Exora,H – Line A/T,2009,1.6,140,55000000.0,Automatic Transmission,Rp,,55000000.0
239,HYUNDAI,AVEGA,Avega,GL 1.5 A/T,2010,1.5,105,55000000.0,Automatic Transmission,Rp,,55000000.0
240,HYUNDAI,AVEGA,Avega,GL 1.5 M/T,2010,1.5,105,55000000.0,Manual Transmission,Rp,,55000000.0
241,HYUNDAI,AVEGA,Avega,SG 1.5 A/T,2010,1.5,105,55000000.0,Automatic Transmission,Rp,,55000000.0
242,HYUNDAI,AVEGA,Avega,XG 1.5 A/T,2010,1.5,105,55000000.0,Automatic Transmission,Rp,,55000000.0
243,HYUNDAI,AVEGA,Avega,XG 1.5 M/T,2010,1.5,105,55000000.0,Manual Transmission,Rp,,55000000.0
244,PROTON,GEN 2,Gen 2,A/T,2010,1.6,110,55000000.0,Automatic Transmission,Rp,,55000000.0
245,PROTON,GEN 2,Gen 2,M/T,2010,1.6,110,55000000.0,Manual Transmission,Rp,,55000000.0
246,PROTON,SAGA,Saga,M–Line M/T,2010,1.3,94,55000000.0,Manual Transmission,Rp,,55000000.0
247,PROTON,SAGA,Saga,M–Line A/T,2011,1.3,94,55000000.0,Automatic Transmission,Rp,,55000000.0
248,PROTON,SAVVY,Savvy,M/T,2011,1.2,76,55000000.0,Manual Transmission,Rp,,55000000.0
249,SUZUKI,CARRY,Suzuki Carry Pick Up,Carry 1.5 Pick Up,2011,1.5,-,55000000.0,0,Rp,,55000000.0
250,KIA,CERATO,Cerato,1.6 A/T,2012,1.6,129,55000000.0,Automatic Transmission,Rp,,55000000.0
251,DAIHATSU,AYLA,Ayla,D M/T,2013,1.0,64,55000000.0,Manual Transmission,Rp,,55000000.0
252,DATSUN,GO,Go Panca,STD MT,2014,1.2,76,55000000.0,0,Rp,,55000000.0
253,TATA,VISTA,Vista,GZX M/T,2014,1.3,89,55000000.0,Manual Transmission,Rp,,55000000.0
254,DAIHATSU,HI-MAX,Hi-Max,Std,2016,1.0,56,55000000.0,0,Rp,,55000000.0
255,MAZDA,MAZDA3,Mazda3,2.0 A/T,2005,2.0,184,58000000.0,Automatic Transmission,Rp,,58000000.0
256,BMW,5,523i,E39 Tiptronic,1996,2.5,170,60000000.0,Tiptronic,Rp,,60000000.0
257,ISUZU,PANTHER,Panther 2.5,Hi-Grade,1998,2.5,86,60000000.0,0,Rp,,60000000.0
258,BMW,3,318i,E46 M43,1999,1.8,141,60000000.0,0,Rp,,60000000.0
259,ISUZU,PANTHER,Panther 2.5,Grand Royal,1999,2.5,86,60000000.0,0,Rp,,60000000.0
260,ISUZU,PANTHER,Panther 2.5,Hi-Sporty,1999,2.5,86,60000000.0,0,Rp,,60000000.0
261,BMW,5,528i,E39 Tiptronic,2000,2.8,193,60000000.0,Tiptronic,Rp,,60000000.0
262,BMW,5,530i,E39 Tiptronic,2000,3.0,231,60000000.0,Tiptronic,Rp,,60000000.0
263,ISUZU,PANTHER,Panther 2.5,Royal,2000,2.5,86,60000000.0,0,Rp,,60000000.0
264,BMW,5,520i,E39 Triptonic,2001,2.0,150,60000000.0,0,Rp,,60000000.0
265,DAIHATSU,TARUNA,Taruna,FGZ 1.6 EFI,2001,1.6,89,60000000.0,0,Rp,,60000000.0
266,KIA,SPORTAGE,Sportage,Short /4WD 2.0,2001,2.0,181,60000000.0,0,Rp,,60000000.0
267,TOYOTA,COROLLA ALTIS,Corolla Altis,G A/T,2001,1.8,149,60000000.0,Automatic Transmission,Rp,,60000000.0
268,TOYOTA,COROLLA ALTIS,Corolla Altis,G M/T,2001,1.8,149,60000000.0,Manual Transmission,Rp,,60000000.0
269,DAIHATSU,TARUNA,Taruna,CSR EFI 1.6,2002,1.6,89,60000000.0,0,Rp,,60000000.0
270,DAIHATSU,TARUNA,Taruna,CSX EFI 1.6,2002,1.6,86,60000000.0,0,Rp,,60000000.0
271,DAIHATSU,TARUNA,Taruna,FX 1.6,2002,1.6,98,60000000.0,0,Rp,,60000000.0
272,HONDA,STREAM,Stream,1.7 M/T,2002,1.7,131,60000000.0,Manual Transmission,Rp,,60000000.0
273,KIA,SPORTAGE,Sportage,Long /4WD 2.0,2002,2.0,181,60000000.0,0,Rp,,60000000.0
274,MAZDA,TRIBUTE,Tribute,2.0 A/T,2002,3.0,130,60000000.0,Automatic Transmission,Rp,,60000000.0
275,DAIHATSU,TARUNA,Taruna,FX 1.5 EFI,2003,1.5,85,60000000.0,0,Rp,,60000000.0
276,HONDA,CITY,City,A/T,2003,1.5,118,60000000.0,Automatic Transmission,Rp,,60000000.0
277,HONDA,CITY,City,A/T,2003,1.5,89,60000000.0,Automatic Transmission,Rp,,60000000.0
278,HONDA,CITY,City,New City i-DSi M/T,2003,1.5,89,60000000.0,Manual Transmission,Rp,,60000000.0
279,HONDA,CITY,City,New City VTEC M/T,2003,1.5,118,60000000.0,Manual Transmission,Rp,,60000000.0
280,KIA,SEDONA,Sedona,2.4 LS,2003,2.4,148,60000000.0,0,Rp,,60000000.0
281,KIA,SEDONA,Sedona,2.5 V6 A/T,2003,2.5,150,60000000.0,Automatic Transmission,Rp,,60000000.0
282,KIA,SEDONA,Sedona,2.5 V6 M/T,2003,2.5,150,60000000.0,Manual Transmission,Rp,,60000000.0
283,TOYOTA,COROLLA ALTIS,Corolla Altis,J M/T,2003,1.8,149,60000000.0,Manual Transmission,Rp,,60000000.0
284,CHEVROLET,BLAZER,Blazer,DOHC LT,2004,2.3,190,60000000.0,0,Rp,,60000000.0
285,DAIHATSU,TARUNA,Taruna,FL 1.5 EFI,2004,1.5,85,60000000.0,0,Rp,,60000000.0
286,DAIHATSU,TARUNA,Taruna,FL 1.5 EFI Plus,2004,1.5,85,60000000.0,0,Rp,,60000000.0
287,DAIHATSU,XENIA,Xenia,1.3 Xi,2004,1.3,92,60000000.0,0,Rp,,60000000.0
288,FORD,ESCAPE,Escape,2.3 A/T,2004,2.3,145,60000000.0,Automatic Transmission,Rp,,60000000.0
289,FORD,ESCAPE,Escape,3.0 4x4 V6,2004,3.0,201,60000000.0,0,Rp,,60000000.0
290,FORD,ESCAPE,Escape,4x2 2.0 XLT M/T,2004,2.3,127,60000000.0,Manual Transmission,Rp,,60000000.0
291,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2004,1.0,54,60000000.0,Automatic Transmission,Rp,,60000000.0
292,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2004,1.0,54,60000000.0,Manual Transmission,Rp,,60000000.0
293,HYUNDAI,SANTA FE,Santa Fe,2.4 L 4x2,2004,2.4,176,60000000.0,0,Rp,,60000000.0
294,KIA,PREGIO,Pregio,Diesel M/T,2004,2.7,78,60000000.0,Manual Transmission,Rp,,60000000.0
295,NISSAN,SERENA,Serena - C 24,Highway Star,2004,2.0,145,60000000.0,0,Rp,,60000000.0
296,RENAULT,MEGANE,Megane,Grandtour,2004,2.0,110,60000000.0,0,Rp,,60000000.0
297,TOYOTA,AVANZA,Avanza,G M/T,2004,1.3,96,60000000.0,Manual Transmission,Rp,,60000000.0
298,DAIHATSU,XENIA,Xenia,1.0 Li Deluxe,2005,1.0,62,60000000.0,0,Rp,,60000000.0
299,DAIHATSU,XENIA,Xenia,1.0 Li Plus,2005,1.0,62,60000000.0,0,Rp,,60000000.0
300,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2005,1.0,54,60000000.0,Manual Transmission,Rp,,60000000.0
301,HYUNDAI,GETZ,Getz,A/T,2005,1.3,84,60000000.0,Automatic Transmission,Rp,,60000000.0
302,HYUNDAI,GETZ,Getz,M/T,2005,1.3,84,60000000.0,Manual Transmission,Rp,,60000000.0
303,HYUNDAI,MATRIX,Matrix,A/T,2005,1.6,103,60000000.0,Automatic Transmission,Rp,,60000000.0
304,HYUNDAI,TRAJET,Trajet,CVVT A/T,2005,2.0,140,60000000.0,Automatic Transmission,Rp,,60000000.0
305,HYUNDAI,TRAJET,Trajet,CVVT M/T,2005,2.0,140,60000000.0,Manual Transmission,Rp,,60000000.0
306,HYUNDAI,TUCSON,Tucson,XG A/T,2005,2.0,157,60000000.0,Automatic Transmission,Rp,,60000000.0
307,NISSAN,SERENA,Serena - C 24,CT,2005,2.0,145,60000000.0,0,Rp,,60000000.0
308,SUZUKI,APV,Suzuki APV,Suzuki APV L,2005,1.5,107,60000000.0,0,Rp,,60000000.0
309,CHEVROLET,OPTRA,Optra,A/T,2006,1.8,104,60000000.0,Automatic Transmission,Rp,,60000000.0
310,CHEVROLET,OPTRA,Optra,M/T,2006,1.8,104,60000000.0,Manual Transmission,Rp,,60000000.0
311,FORD,FOCUS,Focus,Sporty A/T,2006,2.0,180,60000000.0,Automatic Transmission,Rp,,60000000.0
312,HYUNDAI,TRAJET,Trajet,CVVT M/T,2006,2.0,140,60000000.0,Manual Transmission,Rp,,60000000.0
313,HYUNDAI,TRAJET,Trajet,GL 8 M/T,2006,2.0,138,60000000.0,Manual Transmission,Rp,,60000000.0
314,HYUNDAI,TUCSON,Tucson,GLS A/T,2006,2.0,157,60000000.0,Automatic Transmission,Rp,,60000000.0
315,MAZDA,BT-50,B 2500/BT 50,4x4 M/T,2006,2.5,199,60000000.0,Manual Transmission,Rp,,60000000.0
316,NISSAN,LATIO,Latio,1.8 A/T,2006,1.8,125,60000000.0,Automatic Transmission,Rp,,60000000.0
317,TOYOTA,AVANZA,Avanza,E M/T,2006,1.3,96,60000000.0,Manual Transmission,Rp,,60000000.0
318,CHEVROLET,ESTATE,Estate,1.6 LS M/T,2007,1.6,107,60000000.0,Manual Transmission,Rp,,60000000.0
319,DAIHATSU,SIRION,Sirion,D,2007,1.3,89,60000000.0,0,Rp,,60000000.0
320,DAIHATSU,XENIA,Xenia,1.0 Mi Plus VVT-I,2007,1.0,62,60000000.0,0,Rp,,60000000.0
321,FORD,RANGER 2.5 L-TDI DOUBLE CABIN,Ranger 2.5 L-TDI Double cabin,TDCi XLT M/T,2007,2.5,165,60000000.0,Manual Transmission,Rp,,60000000.0
322,HYUNDAI,TRAJET,Trajet,New XG A/T,2007,2.7,179,60000000.0,Automatic Transmission,Rp,,60000000.0
323,MITSUBISHI,MAVEN,Maven,GLS,2007,1.5,86,60000000.0,0,Rp,,60000000.0
324,MITSUBISHI,MAVEN,Maven,GLX,2007,1.5,86,60000000.0,0,Rp,,60000000.0
325,NISSAN,GRAND LIVINA,Grand Livina,1.5 SV M/T,2007,1.5,109,60000000.0,Manual Transmission,Rp,,60000000.0
326,CHEVROLET,AVEO,Aveo,Facelift,2008,1.5,115,60000000.0,0,Rp,,60000000.0
327,CHEVROLET,CAPTIVA,Captiva,Petrol M/T,2008,2.4,136,60000000.0,Manual Transmission,Rp,,60000000.0
328,DAIHATSU,GRAN MAX,Gran Max,1.5 D Optima,2008,1.5,97,60000000.0,0,Rp,,60000000.0
329,DAIHATSU,XENIA,Xenia,1.0 Li VVT-I,2008,1.0,62,60000000.0,0,Rp,,60000000.0
330,ISUZU,PANTHER,Panther Pick Up,Panther Pick Up Standar,2008,2.5,-,60000000.0,0,Rp,,60000000.0
331,KIA,TRAVELLO,Travello,Diesel M/T,2008,2.7,80,60000000.0,Manual Transmission,Rp,,60000000.0
332,SUZUKI,APV,Suzuki APV,Suzuki GE M/T,2008,1.5,107,60000000.0,Manual Transmission,Rp,,60000000.0
333,TOYOTA,VIOS,Vios - New,E M/T,2008,1.5,106,60000000.0,Manual Transmission,Rp,,60000000.0
334,CHEVROLET,KALOS,Kalos,M/T,2009,1.5,94,60000000.0,Manual Transmission,Rp,,60000000.0
335,DAIHATSU,GRAN MAX,Gran Max,1.3 D,2009,1.3,88,60000000.0,0,Rp,,60000000.0
336,DAIHATSU,GRAN MAX,Gran Max,1.5 D,2009,1.3,97,60000000.0,0,Rp,,60000000.0
337,DAIHATSU,GRAN MAX,Gran Max,1.5 F,2009,1.3,97,60000000.0,0,Rp,,60000000.0
338,PROTON,EXORA,Exora,Executive A/T,2009,1.6,125,60000000.0,Automatic Transmission,Rp,,60000000.0
339,CHEVROLET,SPARK,Spark,All New M/T,2010,1.0,98,60000000.0,Manual Transmission,Rp,,60000000.0
340,DAIHATSU,GRAN MAX,Blind Van,Gran Max Blind Van,2010,1.3,-,60000000.0,0,Rp,,60000000.0
341,DAIHATSU,GRAN MAX,Gran Max,1.3 Blind Van,2010,1.3,88,60000000.0,0,Rp,,60000000.0
342,DAIHATSU,GRAN MAX,Gran Max,1.3 F,2010,1.3,88,60000000.0,0,Rp,,60000000.0
343,DAIHATSU,GRAN MAX,Gran Max,1.3 Pick Up,2010,1.3,88,60000000.0,0,Rp,,60000000.0
344,HYUNDAI,AVEGA,Avega,Sporty M/T,2010,1.5,105,60000000.0,Manual Transmission,Rp,,60000000.0
345,HYUNDAI,I10,i10,GL-i,2010,1.1,82,60000000.0,0,Rp,,60000000.0
346,HYUNDAI,I10,i10,GL-s M/T,2010,1.1,82,60000000.0,Manual Transmission,Rp,,60000000.0
347,KIA,PRIDE,Pride,1.4 A/T,2010,1.4,64,60000000.0,Automatic Transmission,Rp,,60000000.0
348,PROTON,EXORA,Exora,H – Line A/T,2010,1.6,140,60000000.0,Automatic Transmission,Rp,,60000000.0
349,PROTON,EXORA,Exora,M – Line A/T,2010,1.6,140,60000000.0,Automatic Transmission,Rp,,60000000.0
350,PROTON,EXORA,Exora,M – Line M/T,2010,1.6,140,60000000.0,Manual Transmission,Rp,,60000000.0
351,PROTON,EXORA,Exora,Star Supreme A/T,2010,1.6,126,60000000.0,Automatic Transmission,Rp,,60000000.0
352,HYUNDAI,AVEGA,Avega,GL 1.5 A/T,2011,1.5,105,60000000.0,Automatic Transmission,Rp,,60000000.0
353,HYUNDAI,AVEGA,Avega,GL 1.5 M/T,2011,1.5,105,60000000.0,Manual Transmission,Rp,,60000000.0
354,HYUNDAI,AVEGA,Avega,XG 1.5 A/T,2011,1.5,105,60000000.0,Automatic Transmission,Rp,,60000000.0
355,HYUNDAI,AVEGA,Avega,XG 1.5 M/T,2011,1.5,105,60000000.0,Manual Transmission,Rp,,60000000.0
356,PROTON,EXORA,Exora,Star M/T,2011,1.6,126,60000000.0,Manual Transmission,Rp,,60000000.0
357,PROTON,GEN 2,Gen 2,A/T,2011,1.6,110,60000000.0,Automatic Transmission,Rp,,60000000.0
358,PROTON,SAGA,Saga,M–Line M/T,2011,1.3,94,60000000.0,Manual Transmission,Rp,,60000000.0
359,PROTON,SAVVY,Savvy,A/T,2011,1.2,76,60000000.0,Automatic Transmission,Rp,,60000000.0
360,KIA,CERATO,Cerato,1.6 M/T,2012,1.6,129,60000000.0,Manual Transmission,Rp,,60000000.0
361,PROTON,SAGA,Saga,M–Line A/T,2012,1.3,94,60000000.0,Automatic Transmission,Rp,,60000000.0
362,SUZUKI,CARRY,Suzuki Carry Pick Up,Carry 1.5 Pick Up,2012,1.5,-,60000000.0,0,Rp,,60000000.0
363,DAIHATSU,AYLA,Ayla,M A/T,2013,1.0,64,60000000.0,Automatic Transmission,Rp,,60000000.0
364,DAIHATSU,AYLA,Ayla,M M/T,2013,1.0,64,60000000.0,Manual Transmission,Rp,,60000000.0
365,CHEVROLET,SPIN,Spin,1.2 Petrol LS M/T,2014,1.2,85,60000000.0,Manual Transmission,Rp,,60000000.0
366,DAIHATSU,AYLA,Ayla,D M/T,2014,1.0,64,60000000.0,Manual Transmission,Rp,,60000000.0
367,DATSUN,GO+,Go Plus Panca,STD M/T,2014,1.2,76,60000000.0,Manual Transmission,Rp,,60000000.0
368,DATSUN,GO,Go Panca,STD MT,2015,1.2,76,60000000.0,0,Rp,,60000000.0
369,DATSUN,GO,Go Panca,T Style M/T,2015,1.2,67,60000000.0,Manual Transmission,Rp,,60000000.0
370,TATA,VISTA,Vista,GZX M/T,2015,1.3,89,60000000.0,Manual Transmission,Rp,,60000000.0
371,DAIHATSU,HI-MAX,Hi-Max,AC+Power Steering,2016,1.0,56,60000000.0,0,Rp,,60000000.0
372,DAIHATSU,HI-MAX,Hi-Max,Std,2017,1.0,56,60000000.0,0,Rp,,60000000.0
373,BMW,5,523i,E39 Manual,1996,2.5,170,65000000.0,0,Rp,,65000000.0
374,BMW,5,523i,E39 Tiptronic,1997,2.5,170,65000000.0,Tiptronic,Rp,,65000000.0
375,ISUZU,PANTHER,Panther 2.5,Hi-Grade,1999,2.5,86,65000000.0,0,Rp,,65000000.0
376,BMW,3,318i,E46 M43,2000,1.8,141,65000000.0,0,Rp,,65000000.0
377,ISUZU,PANTHER,Panther - New,Touring,2000,2.5,80,65000000.0,0,Rp,,65000000.0
378,ISUZU,PANTHER,Panther - New,Touring A/T,2000,2.5,80,65000000.0,Automatic Transmission,Rp,,65000000.0
379,ISUZU,PANTHER,Panther 2.5,Grand Royal,2000,2.5,86,65000000.0,0,Rp,,65000000.0
380,ISUZU,PANTHER,Panther 2.5,Hi-Sporty,2000,2.5,86,65000000.0,0,Rp,,65000000.0
381,DAIHATSU,TARUNA,Taruna,FGX 1.6,2002,1.6,98,65000000.0,0,Rp,,65000000.0
382,DAIHATSU,TARUNA,Taruna,FGZ 1.6 EFI,2002,1.6,89,65000000.0,0,Rp,,65000000.0
383,HONDA,STREAM,Stream,A/T,2002,1.7,131,65000000.0,Automatic Transmission,Rp,,65000000.0
384,KIA,SPORTAGE,Sportage,Short /4WD 2.0,2002,2.0,181,65000000.0,0,Rp,,65000000.0
385,TOYOTA,COROLLA ALTIS,Corolla Altis,G A/T,2002,1.8,149,65000000.0,Automatic Transmission,Rp,,65000000.0
386,TOYOTA,COROLLA ALTIS,Corolla Altis,G M/T,2002,1.8,149,65000000.0,Manual Transmission,Rp,,65000000.0
387,DAIHATSU,TARUNA,Taruna,CSX 1.5 EFI,2003,1.5,85,65000000.0,0,Rp,,65000000.0
388,DAIHATSU,TARUNA,Taruna,FX 1.6,2003,1.6,98,65000000.0,0,Rp,,65000000.0
389,KIA,SPORTAGE,Sportage,Long /4WD 2.0,2003,2.0,181,65000000.0,0,Rp,,65000000.0
390,MAZDA,TRIBUTE,Tribute,2.0 A/T,2003,3.0,130,65000000.0,Automatic Transmission,Rp,,65000000.0
391,DAIHATSU,AYLA,Ayla,R A/T,2004,1.0,60,65000000.0,Automatic Transmission,Rp,,65000000.0
392,DAIHATSU,TARUNA,Taruna,FX 1.5 EFI,2004,1.5,85,65000000.0,0,Rp,,65000000.0
393,DAIHATSU,XENIA,Xenia,1.3 Li Family,2004,1.3,92,65000000.0,0,Rp,,65000000.0
394,DAIHATSU,XENIA,Xenia,1.3 Li Sporty,2004,1.3,92,65000000.0,0,Rp,,65000000.0
395,DAIHATSU,XENIA,Xenia,1.3 Xi Sporty,2004,1.3,92,65000000.0,0,Rp,,65000000.0
396,HONDA,CITY,City,A/T,2004,1.5,118,65000000.0,Automatic Transmission,Rp,,65000000.0
397,HONDA,CITY,City,A/T,2004,1.5,89,65000000.0,Automatic Transmission,Rp,,65000000.0
398,HONDA,CITY,City,New City i-DSi M/T,2004,1.5,89,65000000.0,Manual Transmission,Rp,,65000000.0
399,HONDA,CITY,City,New City VTEC M/T,2004,1.5,118,65000000.0,Manual Transmission,Rp,,65000000.0
400,HONDA,JAZZ,Jazz,IDSI A/T,2004,1.5,110,65000000.0,Automatic Transmission,Rp,,65000000.0
401,HONDA,JAZZ,Jazz,IDSI M/T,2004,1.5,110,65000000.0,Manual Transmission,Rp,,65000000.0
402,KIA,PREGIO,Pregio,Lohan,2004,2.7,78,65000000.0,0,Rp,,65000000.0
403,KIA,SEDONA,Sedona,2.4 LS,2004,2.4,148,65000000.0,0,Rp,,65000000.0
404,KIA,SEDONA,Sedona,2.5 V6 A/T,2004,2.5,150,65000000.0,Automatic Transmission,Rp,,65000000.0
405,KIA,SEDONA,Sedona,2.5 V6 M/T,2004,2.5,150,65000000.0,Manual Transmission,Rp,,65000000.0
406,MAZDA,TRIBUTE,Tribute,2.3 M/T,2004,2.3,153,65000000.0,Manual Transmission,Rp,,65000000.0
407,TOYOTA,AVANZA,Avanza,S A/T,2004,1.3,96,65000000.0,Automatic Transmission,Rp,,65000000.0
408,TOYOTA,COROLLA ALTIS,Corolla Altis,J M/T,2004,1.8,149,65000000.0,Manual Transmission,Rp,,65000000.0
409,CHEVROLET,BLAZER,Blazer,DOHC LT,2005,2.3,190,65000000.0,0,Rp,,65000000.0
410,DAIHATSU,XENIA,Xenia,1.3 Xi,2005,1.3,92,65000000.0,0,Rp,,65000000.0
411,FORD,ESCAPE,Escape,3.0 4x2 V6,2005,3.0,201,65000000.0,0,Rp,,65000000.0
412,FORD,ESCAPE,Escape,3.0 4x4 V6,2005,3.0,201,65000000.0,0,Rp,,65000000.0
413,HYUNDAI,ATOZ,Atoz,A/T,2005,1.1,61,65000000.0,Automatic Transmission,Rp,,65000000.0
414,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2005,1.0,54,65000000.0,Automatic Transmission,Rp,,65000000.0
415,HYUNDAI,ATOZ,Atoz,New 1.1 M/T,2005,1.1,61,65000000.0,Manual Transmission,Rp,,65000000.0
416,SUZUKI,APV,Suzuki APV,Suzuki APV X M/T,2005,1.5,107,65000000.0,Manual Transmission,Rp,,65000000.0
417,TOYOTA,AVANZA,Avanza,G M/T,2005,1.3,96,65000000.0,Manual Transmission,Rp,,65000000.0
418,DAIHATSU,XENIA,Xenia,1.0 Li Deluxe,2006,1.0,62,65000000.0,0,Rp,,65000000.0
419,DAIHATSU,XENIA,Xenia,1.3 Li Family VVT-I,2006,1.3,92,65000000.0,0,Rp,,65000000.0
420,DAIHATSU,XENIA,Xenia,1.3 Xi VVT-I,2006,1.3,92,65000000.0,0,Rp,,65000000.0
421,HYUNDAI,ATOZ,Atoz,A/T,2006,1.1,61,65000000.0,Automatic Transmission,Rp,,65000000.0
422,HYUNDAI,ATOZ,Atoz,New 1.1 M/T,2006,1.1,61,65000000.0,Manual Transmission,Rp,,65000000.0
423,HYUNDAI,GETZ,Getz,A/T,2006,1.3,84,65000000.0,Automatic Transmission,Rp,,65000000.0
424,HYUNDAI,GETZ,Getz,M/T,2006,1.3,84,65000000.0,Manual Transmission,Rp,,65000000.0
425,HYUNDAI,TRAJET,Trajet,CVVT A/T,2006,2.0,140,65000000.0,Automatic Transmission,Rp,,65000000.0
426,SUZUKI,APV,Suzuki APV,Suzuki APV L,2006,1.5,107,65000000.0,0,Rp,,65000000.0
427,TOYOTA,AVANZA,Avanza,E VVT-I M/T,2006,1.3,96,65000000.0,Manual Transmission,Rp,,65000000.0
428,CHEVROLET,ESTATE,Estate,1.6 LS A/T,2007,1.6,107,65000000.0,Automatic Transmission,Rp,,65000000.0
429,CHEVROLET,ESTATE,Estate,1.6 SS M/T,2007,1.6,160,65000000.0,Manual Transmission,Rp,,65000000.0
430,CHEVROLET,OPTRA,Optra,A/T,2007,1.8,104,65000000.0,Automatic Transmission,Rp,,65000000.0
431,CHEVROLET,OPTRA,Optra,M/T,2007,1.8,104,65000000.0,Manual Transmission,Rp,,65000000.0
432,DAIHATSU,SIRION,Sirion,M A/T,2007,1.3,87,65000000.0,Automatic Transmission,Rp,,65000000.0
433,DAIHATSU,SIRION,Sirion,M M/T,2007,1.3,87,65000000.0,Manual Transmission,Rp,,65000000.0
434,HYUNDAI,TRAJET,Trajet,GL 8 M/T,2007,2.0,138,65000000.0,Manual Transmission,Rp,,65000000.0
435,NISSAN,GRAND LIVINA,Grand Livina,1.5 XV A/T,2007,1.5,109,65000000.0,Automatic Transmission,Rp,,65000000.0
436,NISSAN,GRAND LIVINA,Grand Livina,1.8 Ultimate A/T,2007,1.8,124,65000000.0,Automatic Transmission,Rp,,65000000.0
437,PEUGEOT,207,207,M/T,2007,1.4,76,65000000.0,Manual Transmission,Rp,,65000000.0
438,DAIHATSU,LUXIO,Luxio,D,2008,1.5,96,65000000.0,0,Rp,,65000000.0
439,DAIHATSU,SIRION,Sirion,D,2008,1.3,89,65000000.0,0,Rp,,65000000.0
440,DAIHATSU,XENIA,Xenia,1.0 Mi Plus VVT-I,2008,1.0,62,65000000.0,0,Rp,,65000000.0
441,ISUZU,PANTHER,Panther Pick Up,Panther Pick up Cargo 3 way,2008,2.5,-,65000000.0,0,Rp,,65000000.0
442,MITSUBISHI,MAVEN,Maven,GLS,2008,1.5,86,65000000.0,0,Rp,,65000000.0
443,MITSUBISHI,MAVEN,Maven,GLX,2008,1.5,86,65000000.0,0,Rp,,65000000.0
444,NISSAN,GRAND LIVINA,Grand Livina,1.5 XR A/T,2008,1.5,109,65000000.0,Automatic Transmission,Rp,,65000000.0
445,NISSAN,GRAND LIVINA,Grand Livina,1.5 XR M/T,2008,1.5,109,65000000.0,Manual Transmission,Rp,,65000000.0
446,CHEVROLET,AVEO,Aveo,Facelift,2009,1.5,115,65000000.0,0,Rp,,65000000.0
447,DAIHATSU,XENIA,Xenia,1.0 Li VVT-I,2009,1.0,62,65000000.0,0,Rp,,65000000.0
448,HYUNDAI,AVEGA,Avega,Sporty M/T,2009,1.5,105,65000000.0,Manual Transmission,Rp,,65000000.0
449,HYUNDAI,I20,i20,GL M/T,2009,1.4,99,65000000.0,Manual Transmission,Rp,,65000000.0
450,HYUNDAI,I20,i20,SG M/T,2009,1.4,99,65000000.0,Manual Transmission,Rp,,65000000.0
451,ISUZU,PANTHER,Panther Pick Up,Panther Pick Up Standar,2009,2.5,-,65000000.0,0,Rp,,65000000.0
452,CHEVROLET,SPARK,Spark,All New A/T,2010,1.0,98,65000000.0,Automatic Transmission,Rp,,65000000.0
453,DAIHATSU,GRAN MAX,Gran Max,1.3 D,2010,1.3,88,65000000.0,0,Rp,,65000000.0
454,DAIHATSU,GRAN MAX,Gran Max,1.5 D,2010,1.3,97,65000000.0,0,Rp,,65000000.0
455,DAIHATSU,GRAN MAX,Gran Max,1.5 F,2010,1.3,97,65000000.0,0,Rp,,65000000.0
456,HYUNDAI,AVEGA,Avega,SG 1.5 M/T,2010,1.5,105,65000000.0,Manual Transmission,Rp,,65000000.0
457,HYUNDAI,I10,i10,GL-s A/T,2010,1.1,82,65000000.0,Automatic Transmission,Rp,,65000000.0
458,KIA,PRIDE,Pride,1.4 M/T,2010,1.4,64,65000000.0,Manual Transmission,Rp,,65000000.0
459,PROTON,EXORA,Exora,Executive A/T,2010,1.6,125,65000000.0,Automatic Transmission,Rp,,65000000.0
460,DAIHATSU,GRAN MAX,Gran Max,1.3 Blind Van,2011,1.3,88,65000000.0,0,Rp,,65000000.0
461,DAIHATSU,GRAN MAX,Gran Max,1.3 F,2011,1.3,88,65000000.0,0,Rp,,65000000.0
